Name	Edible	Poisonous	Term_found
Gallacea scleroderma	0	0	False
Ganoderma lucidum	3	2	True
Ganoderma sp	0	1	True
Ganoderma tsugae	2	1	True
Geastrum minimum	0	0	True
Geastrum sp	0	0	True
Gerronema retiarium	0	5	False
Gerronema strombodes	0	5	False
Gerronema viridilucens	0	4	True
Glaziella vesiculosa	0	2	False
Gliophorus graminicolor	0	0	False
Gliophorus sp	0	1	True
Golden Chanterelles	3	0	True
Gomphidius subroseus	0	0	False
Gomphus clavatus	6	1	True
Gomphus floccosus	3	0	True
Gomphus kauffmanii	0	0	False
Gomphus sp	5	0	True
Grifola frondosa	8	2	True
Grofola frondosa	6	2	True
Gymnopilus sp	0	1	True
Gymnopus dryophilus	0	1	True
Gyrodon merulioides	0	0	False
Gyromitra caroliniana	0	0	False
Gyromitra esculenta	3	17	True
Gyromitra gigas	0	6	True
Gyromitra infula	0	1	True
Gyroporus castaneus	1	0	True
Hebeloma aminophilum	0	0	True
Helvella sp	0	0	True
Helvella lacunosa	0	0	True
Helvella macropus	0	0	False
Helvella sp	0	0	True
Hemitrichia sp	0	0	True
Hericium abietis	2	0	True
Hericium coralloides	2	0	True
Hericium erinaceus	4	0	True
Hericium sp	3	0	True
Hohenbuehelia mastrucata	4	2	False
Hohenbuehelia sp	1	0	True
Hohenbuhelia petaloides	0	0	False
Humaria sp	0	0	True
Hydnellum caeruleum	1	0	True
Hydnellum peckii	0	0	True
Hydnellum sp	0	1	True
Hydno fimbriatus	0	0	False
Hydnodon thelephorus	0	0	False
Hydnodon thelophorus	0	0	False
Hydnopolyporus fimbriatus	0	0	False
Hydnum repandum	6	4	True
Hydnum sp	0	0	True
Hygrocybe coccinea	0	0	True
Hygrocybe conica	1	0	True
Hygrocybe flavescens	0	0	True
Hygrocybe laeta	0	0	True
Hygrocybe psittacina	0	0	True
Hygrocybe sp	0	0	True
Hygrophoropsis aurantiaca	0	0	True
Hygrophorus bakerensis	7	0	False
Hygrophorus chrysodon	2	0	True
Hygrophorus fuligineus	1	0	True
Hygrophorus hypothejus	0	0	True
Hygrophorus leucophaeus	0	0	False
Hygrophorus sp	0	0	True
Hypholoma capnoides	0	0	True
Hypholoma fasciculare	3	3	True
Hypholoma sp	0	0	True
Hypomyces aff	0	0	False
Hypomyces lactifluorum	2	0	True
Hypsizygus tessellatus	0	0	False
Hypsizygus ulmarius	5	0	True
Inonotus obliquus	3	4	True
Inonotus tomentosus	0	0	True
Isaria sp	0	0	True
Laccaria aff	6	0	True
Laccaria amythestina	1	1	True
Laccaria sp	0	0	True
Lachnocladium cf	1	0	False
Lactarius atroviridis	0	0	False
Lactarius fallax	0	0	True
Lactarius indigo	0	0	True
Lactarius sp	1	0	True
Lactarius torminosus	4	1	True
Laetiporus sulphureus	2	0	True
Leccinum atrostipitatum	4	5	False
Leccinum scabrosum	5	3	True
Leccinum sp	0	0	True
Leccinum sp	0	0	True
Lentinellus cochleatus	0	0	True
Lentinellus montanus	0	0	False
Lentinula edodes	7	0	True
Lentinus crinitus	0	0	True
Lentinus sp	3	1	True
Lentinus velutinus	0	0	True
Lenzites betulina	1	2	True
Lenzites sp	0	0	True
Leotia lubrica	0	0	True
Leotia sp	0	0	True
Leotia viscosa	0	0	False
Lepiota sp	0	0	True
Lepiota sp	0	0	True
Lepista sordida	3	0	True
Leptonia carnea	0	2	False
Leptonia sp	1	0	True
Leratiomyces ceres	0	5	True
Leuco fragilissimus	0	1	False
Leucocoprinus aff	0	0	False
Leucocoprinus cepaestipes	0	1	False
Leucocoprinus cretaceus	0	0	False
Leucocoprinus fragili	0	0	False
Leucocoprinus luteus	0	0	False
Leucocoprinus sp	0	0	True
Linderia columnata	0	0	False
Lycoperdon americanum	0	0	False
Lycoperdon perlatum	12	7	True
Lycoperdon sp	0	0	True
Lyophyllum fumosum	3	0	True
Lyophyllum shimeji	7	0	True
Lysurus coralocephala	1	1	False
Lysurus mokusin	0	0	True
Lysurus periphragmoides	0	0	True
Macrocybe gigantea	2	0	True
Macrolepiota clelandii	0	1	True
Macrolepiota sp	0	0	True
Macrotyphula fistulosa	2	3	False
Marasmiellus cf	0	0	False
Marasmiellus cubensis	0	0	False
Marasmiellus nigripes	0	0	False
Marasmius elegans	0	1	True
Marasmius haematocephalus	0	1	False
Marasmius plicatilis	0	0	False
Marasmius sp	0	0	True
Marasmius zenkeri	0	0	False
Merulius incarnatus	0	1	True
Merulius tremelloides	0	0	False
Microglossum rufum	0	0	False
Microglossum viride	0	0	True
